Date,AAPL,R,SNP,Rm,,,,,
01/09/2010,35.761429,,1080.290039,,,,,,
02/09/2010,36.024284,0.007350238,1090.099976,0.009080836,,,,,
03/09/2010,36.967144,0.0261729,1104.51001,0.013219002,,,,,
07/09/2010,36.830002,-0.003709835,1091.839966,-0.01147119,,,,,
08/09/2010,37.560001,0.01982077,1098.869995,0.006438699,,,,,
09/09/2010,37.581429,0.000570501,1104.180054,0.00483229,,,,,
10/09/2010,37.630001,0.001292447,1109.550049,0.004863333,,,,,
13/09/2010,38.148571,0.01378076,1121.900024,0.011130616,,,,,
14/09/2010,38.294285,0.003819645,1121.099976,-0.000713119,,,,,
15/09/2010,38.602856,0.008057886,1125.069946,0.003541138,,,,,
16/09/2010,39.509998,0.023499349,1124.660034,-0.000364344,,,,,
17/09/2010,39.33857,-0.004338851,1125.589966,0.000826856,,,,,
20/09/2010,40.46143,0.028543488,1142.709961,0.015209797,,,,,
21/09/2010,40.53857,0.001906507,1139.780029,-0.002564021,,,,,
22/09/2010,41.107143,0.014025482,1134.280029,-0.004825493,,,,,
23/09/2010,41.274284,0.004065984,1124.829956,-0.00833134,,,,,
24/09/2010,41.759998,0.011767957,1148.670044,0.021194393,,,,,
27/09/2010,41.594284,-0.003968247,1142.160034,-0.005667433,,,,,
28/09/2010,40.98,-0.014768472,1147.699951,0.004850386,,,,,
29/09/2010,41.052856,0.001777843,1144.72998,-0.002587759,,,,,
30/09/2010,40.535713,-0.012597004,1141.199951,-0.003083722,,,,,
01/10/2010,40.360001,-0.004334746,1146.23999,0.004416438,,,,,
04/10/2010,39.805714,-0.013733573,1137.030029,-0.008034933,,,,,
05/10/2010,41.277142,0.036965246,1160.75,0.020861341,,,,,
06/10/2010,41.312859,0.000865297,1159.969971,-0.000672004,,,,,
07/10/2010,41.317142,0.000103672,1158.060059,-0.001646518,,,,,
08/10/2010,42.009998,0.016769214,1165.150024,0.006122277,,,,,
11/10/2010,42.194286,0.004386765,1165.319946,0.000145837,,,,,
12/10/2010,42.648571,0.010766505,1169.77002,0.003818757,,,,,
13/10/2010,42.877144,0.005359453,1178.099976,0.00712102,,,,,
14/10/2010,43.187141,0.007229889,1173.810059,-0.003641386,,,,,
15/10/2010,44.962856,0.041116753,1176.189941,0.002027485,,,,,
18/10/2010,45.42857,0.01035775,1184.709961,0.007243745,,,,,
19/10/2010,44.212856,-0.026761001,1165.900024,-0.015877251,,,,,
20/10/2010,44.361427,0.003360357,1178.170044,0.010524076,,,,,
21/10/2010,44.217144,-0.003252443,1180.26001,0.001773909,,,,,
22/10/2010,43.924286,-0.006623178,1183.079956,0.002389258,,,,,
25/10/2010,44.119999,0.00445569,1185.619995,0.002146972,,,,,
26/10/2010,44.007141,-0.002557978,1185.640015,1.68857E-05,,,,,
27/10/2010,43.975716,-0.000714089,1182.449951,-0.002690584,,,,,
28/10/2010,43.605713,-0.008413803,1183.780029,0.001124849,,,,,
29/10/2010,42.997143,-0.013956199,1183.26001,-0.000439287,,,,,
01/11/2010,43.454285,0.010631916,1184.380005,0.000946533,,,,,
02/11/2010,44.194286,0.017029414,1193.569946,0.007759284,,,,,
03/11/2010,44.685715,0.011119741,1197.959961,0.003678054,,,,,
04/11/2010,45.467144,0.017487222,1221.060059,0.019282863,,,,,
05/11/2010,45.304287,-0.003581861,1225.849976,0.003922753,,,,,
08/11/2010,45.517143,0.004698363,1223.25,-0.002120958,,,,,
09/11/2010,45.154285,-0.007971898,1213.400024,-0.0080523,,,,,
10/11/2010,45.432858,0.006169359,1218.709961,0.004376081,,,,,
11/11/2010,45.235714,-0.004339238,1213.540039,-0.004242127,,,,,
12/11/2010,44.004284,-0.027222517,1199.209961,-0.011808492,,,,,
15/11/2010,43.862858,-0.003213914,1197.75,-0.001217436,,,,,
16/11/2010,43.084286,-0.017750143,1178.339966,-0.016205413,,,,,
17/11/2010,42.92857,-0.003614218,1178.589966,0.000212163,,,,,
18/11/2010,44.061428,0.026389372,1196.689941,0.015357313,,,,,
19/11/2010,43.818573,-0.005511737,1199.72998,0.002540373,,,,,
22/11/2010,44.765713,0.021615035,1197.839966,-0.001575366,,,,,
23/11/2010,44.104286,-0.014775304,1180.72998,-0.014284033,,,,,
24/11/2010,44.971428,0.019661173,1198.349976,0.014922968,,,,,
26/11/2010,45,0.000635337,1189.400024,-0.007468563,,,,,
29/11/2010,45.267143,0.005936511,1187.76001,-0.001378858,,,,,
30/11/2010,44.450001,-0.018051548,1180.550049,-0.006070217,,,,,
01/12/2010,45.200001,0.016872891,1206.069946,0.021616955,,,,,
02/12/2010,45.450001,0.005530973,1221.530029,0.012818563,,,,,
03/12/2010,45.348572,-0.002231661,1224.709961,0.002603237,,,,,
06/12/2010,45.735714,0.008537027,1223.119995,-0.001298239,,,,,
07/12/2010,45.458572,-0.006059641,1223.75,0.00051508,,,,,
08/12/2010,45.85857,0.008799177,1228.280029,0.00370176,,,,,
09/12/2010,45.68,-0.003893929,1233,0.003842748,,,,,
10/12/2010,45.794285,0.002501861,1240.400024,0.006001642,,,,,
13/12/2010,45.952858,0.003462725,1240.459961,4.83207E-05,,,,,
14/12/2010,45.755714,-0.004290136,1241.589966,0.000910956,,,,,
15/12/2010,45.765713,0.00021853,1235.22998,-0.005122453,,,,,
16/12/2010,45.892857,0.00277815,1242.869995,0.006185095,,,,,
17/12/2010,45.80143,-0.001992184,1243.910034,0.000836804,,,,,
20/12/2010,46.029999,0.004990434,1247.079956,0.002548353,,,,,
21/12/2010,46.314285,0.006176103,1254.599976,0.006030103,,,,,
22/12/2010,46.451427,0.002961117,1258.839966,0.003379555,,,,,
23/12/2010,46.228573,-0.004797571,1256.77002,-0.001644328,,,,,
27/12/2010,46.382858,0.003337438,1257.540039,0.000612697,,,,,
28/12/2010,46.495716,0.002433183,1258.51001,0.000771324,,,,,
29/12/2010,46.470001,-0.000553062,1259.780029,0.001009145,,,,,
30/12/2010,46.237144,-0.00501091,1257.880005,-0.001508219,,,,,
31/12/2010,46.080002,-0.00339861,1257.640015,-0.000190789,,,,,
03/01/2011,47.081429,0.021732356,1271.869995,0.011314828,,,,,
04/01/2011,47.327145,0.005218958,1270.199951,-0.001313062,,,,,
05/01/2011,47.714287,0.008180126,1276.560059,0.005007171,,,,,
06/01/2011,47.675713,-0.000808437,1273.849976,-0.002122958,,,,,
07/01/2011,48.017143,0.007161508,1271.5,-0.001844782,,,,,
10/01/2011,48.921429,0.018832566,1269.75,-0.001376327,,,,,
11/01/2011,48.805714,-0.002365323,1274.47998,0.003725127,,,,,
12/01/2011,49.202858,0.008137244,1285.959961,0.00900758,,,,,
13/01/2011,49.382858,0.003658324,1283.76001,-0.001710746,,,,,
14/01/2011,49.782856,0.008099936,1293.23999,0.007384542,,,,,
18/01/2011,48.664288,-0.02246894,1295.02002,0.001376411,,,,,
19/01/2011,48.405716,-0.005313383,1281.920044,-0.010115655,,,,,
20/01/2011,47.525715,-0.018179692,1280.26001,-0.001294959,,,,,
21/01/2011,46.674286,-0.017915122,1283.349976,0.002413546,,,,,
24/01/2011,48.207142,0.032841552,1290.839966,0.00583628,,,,,
25/01/2011,48.771427,0.011705423,1291.180054,0.000263463,,,,,
26/01/2011,49.121429,0.007176374,1296.630005,0.004220907,,,,,
27/01/2011,49.029999,-0.001861306,1299.540039,0.002244306,,,,,
28/01/2011,48.014286,-0.020716154,1276.339966,-0.017852527,,,,,
31/01/2011,48.474285,0.009580461,1286.119995,0.007662558,,,,,
01/02/2011,49.290001,0.016827809,1307.589966,0.016693599,,,,,
02/02/2011,49.188572,-0.002057801,1304.030029,-0.002722518,,,,,
03/02/2011,49.062859,-0.002555736,1307.099976,0.0023542,,,,,
04/02/2011,49.5,0.008909815,1310.869995,0.002884262,,,,,
07/02/2011,50.26857,0.015526667,1319.050049,0.006240172,,,,,
08/02/2011,50.742859,0.0094351,1324.569946,0.004184752,,,,,
09/02/2011,51.165714,0.008333291,1320.880005,-0.002785765,,,,,
10/02/2011,50.648571,-0.010107218,1321.869995,0.000749493,,,,,
11/02/2011,50.978573,0.006515524,1329.150024,0.005507371,,,,,
14/02/2011,51.311428,0.006529312,1332.319946,0.002384924,,,,,
15/02/2011,51.414288,0.002004622,1328.01001,-0.003234911,,,,,
16/02/2011,51.875713,0.008974645,1336.319946,0.006257435,,,,,
17/02/2011,51.185715,-0.013300983,1340.430054,0.003075692,,,,,
18/02/2011,50.080002,-0.021601984,1343.01001,0.001924723,,,,,
22/02/2011,48.372856,-0.034088377,1315.439941,-0.020528566,,,,,
23/02/2011,48.945713,0.01184253,1307.400024,-0.006111961,,,,,
24/02/2011,48.982857,0.000758882,1306.099976,-0.000994377,,,,,
25/02/2011,49.737144,0.015399,1319.880005,0.010550516,,,,,
28/02/2011,50.458572,0.014504814,1327.219971,0.005561086,,,,,
01/03/2011,49.901428,-0.011041613,1306.329956,-0.015739678,,,,,
02/03/2011,50.302856,0.008044419,1308.439941,0.001615201,,,,,
03/03/2011,51.365715,0.021129198,1330.969971,0.017219002,,,,,
04/03/2011,51.42857,0.001223676,1321.150024,-0.007378038,,,,,
07/03/2011,50.765713,-0.012888886,1310.130005,-0.008341232,,,,,
08/03/2011,50.822857,0.001125642,1321.819946,0.008922734,,,,,
09/03/2011,50.352856,-0.009247827,1320.02002,-0.001361703,,,,,
10/03/2011,49.524284,-0.016455313,1295.109985,-0.018870952,,,,,
11/03/2011,50.284286,0.015346047,1304.280029,0.007080514,,,,,
14/03/2011,50.508572,0.00446036,1296.390015,-0.006049325,,,,,
15/03/2011,49.347141,-0.02299473,1281.869995,-0.011200349,,,,,
16/03/2011,47.144287,-0.044639952,1256.880005,-0.019494949,,,,,
17/03/2011,47.805714,0.014029844,1273.719971,0.013398229,,,,,
18/03/2011,47.238571,-0.011863498,1279.209961,0.004310202,,,,,
21/03/2011,48.471428,0.026098524,1298.380005,0.014985846,,,,,
22/03/2011,48.742859,0.005599814,1293.77002,-0.003550567,,,,,
23/03/2011,48.455715,-0.005890996,1297.540039,0.002913979,,,,,
24/03/2011,49.281429,0.017040591,1309.660034,0.009340748,,,,,
25/03/2011,50.220001,0.019045146,1313.800049,0.003161137,,,,,
28/03/2011,50.062859,-0.003129072,1310.189941,-0.002747837,,,,,
29/03/2011,50.137142,0.001483795,1319.439941,0.007060045,,,,,
30/03/2011,49.804287,-0.006638891,1328.26001,0.006684707,,,,,
31/03/2011,49.787144,-0.000344207,1325.829956,-0.001829502,,,,,
01/04/2011,49.222858,-0.01133397,1332.410034,0.004962988,,,,,
04/04/2011,48.741428,-0.009780619,1332.869995,0.00034521,,,,,
05/04/2011,48.412857,-0.006741103,1332.630005,-0.000180055,,,,,
06/04/2011,48.291428,-0.002508197,1335.540039,0.002183677,,,,,
07/04/2011,48.297142,0.000118323,1333.51001,-0.001520006,,,,,
08/04/2011,47.865715,-0.008932765,1328.170044,-0.004004444,,,,,
11/04/2011,47.257141,-0.012714194,1324.459961,-0.00279338,,,,,
12/04/2011,47.485714,0.004836793,1314.160034,-0.007776699,,,,,
13/04/2011,48.01857,0.011221396,1314.410034,0.000190236,,,,,
14/04/2011,47.488571,-0.011037376,1314.52002,8.36771E-05,,,,,
15/04/2011,46.779999,-0.014920895,1319.680054,0.003925413,,,,,
18/04/2011,47.407143,0.013406242,1305.140015,-0.011017852,,,,,
19/04/2011,48.265713,0.018110562,1312.619995,0.005731171,,,,,
20/04/2011,48.915714,0.013467138,1330.359985,0.013514947,,,,,
21/04/2011,50.099998,0.024210707,1337.380005,0.005276782,,,,,
25/04/2011,50.43,0.006586867,1335.25,-0.00159267,,,,,
26/04/2011,50.060001,-0.007336883,1347.23999,0.008979584,,,,,
27/04/2011,50.021427,-0.000770555,1355.660034,0.006249847,,,,,
28/04/2011,49.535713,-0.009710119,1360.47998,0.003555424,,,,,
29/04/2011,50.01857,0.009747654,1363.609985,0.002300662,,,,,
02/05/2011,49.468571,-0.010995896,1361.219971,-0.001752711,,,,,
03/05/2011,49.742859,0.005544692,1356.619995,-0.003379304,,,,,
04/05/2011,49.938572,0.003934494,1347.319946,-0.006855309,,,,,
05/05/2011,49.535713,-0.008067091,1335.099976,-0.009069835,,,,,
06/05/2011,49.522858,-0.00025951,1340.199951,0.00381992,,,,,
09/05/2011,49.657143,0.002711576,1346.290039,0.004544164,,,,,
10/05/2011,49.921429,0.005322215,1357.160034,0.008074037,,,,,
11/05/2011,49.604286,-0.006352843,1342.079956,-0.011111496,,,,,
12/05/2011,49.509998,-0.001900803,1348.650024,0.004895437,,,,,
13/05/2011,48.642857,-0.017514462,1337.77002,-0.008067329,,,,,
16/05/2011,47.614285,-0.021145386,1329.469971,-0.006204392,,,,,
17/05/2011,48.02,0.008520867,1328.97998,-0.000368561,,,,,
18/05/2011,48.552856,0.011096543,1340.680054,0.0088038,,,,,
19/05/2011,48.647144,0.001941966,1343.599976,0.002177941,,,,,
20/05/2011,47.888573,-0.015593331,1333.27002,-0.007688267,,,,,
23/05/2011,47.771427,-0.00244622,1317.369995,-0.011925585,,,,,
24/05/2011,47.455715,-0.006608804,1316.280029,-0.00082738,,,,,
25/05/2011,48.111427,0.013817345,1320.469971,0.003183169,,,,,
26/05/2011,47.857143,-0.005285314,1325.689941,0.003953115,,,,,
27/05/2011,48.201427,0.007193994,1331.099976,0.00408092,,,,,
31/05/2011,49.689999,0.030882322,1345.199951,0.010592724,,,,,
01/06/2011,49.35857,-0.006669934,1314.550049,-0.022784644,,,,,
02/06/2011,49.442856,0.001707626,1312.939941,-0.001224836,,,,,
03/06/2011,49.062859,-0.007685579,1300.160034,-0.009733809,,,,,
06/06/2011,48.291428,-0.015723319,1286.170044,-0.010760206,,,,,
07/06/2011,47.434284,-0.017749403,1284.939941,-0.000956408,,,,,
08/06/2011,47.462856,0.000602349,1279.560059,-0.004186874,,,,,
09/06/2011,47.355713,-0.002257407,1289,0.00737749,,,,,
10/06/2011,46.557144,-0.016863203,1270.97998,-0.013979845,,,,,
13/06/2011,46.657143,0.002147877,1271.829956,0.000668756,,,,,
14/06/2011,47.491428,0.017881185,1287.869995,0.01261178,,,,,
15/06/2011,46.67857,-0.017115889,1265.420044,-0.017431846,,,,,
16/06/2011,46.451427,-0.004866109,1267.640015,0.001754335,,,,,
17/06/2011,45.751427,-0.015069505,1271.5,0.003045017,,,,,
20/06/2011,45.045715,-0.015424918,1278.359985,0.005395191,,,,,
21/06/2011,46.471428,0.031650358,1295.52002,0.013423476,,,,,
22/06/2011,46.087143,-0.008269275,1287.140015,-0.006468449,,,,,
23/06/2011,47.318573,0.026719599,1283.5,-0.002827987,,,,,
24/06/2011,46.621429,-0.014732989,1268.449951,-0.011725788,,,,,
27/06/2011,47.434284,0.017435223,1280.099976,0.009184458,,,,,
28/06/2011,47.894287,0.00969769,1296.670044,0.012944355,,,,,
29/06/2011,47.720001,-0.003638973,1307.410034,0.008282747,,,,,
30/06/2011,47.952858,0.004879652,1320.640015,0.010119229,,,,,
01/07/2011,49.037144,0.022611499,1339.670044,0.014409702,,,,,
05/07/2011,49.918571,0.017974681,1337.880005,-0.001336179,,,,,
06/07/2011,50.251427,0.006667979,1339.219971,0.001001559,,,,,
07/07/2011,51.028572,0.015465133,1353.219971,0.010453846,,,,,
08/07/2011,51.387142,0.007026848,1343.800049,-0.006961117,,,,,
11/07/2011,50.57143,-0.015873854,1319.48999,-0.018090533,,,,,
12/07/2011,50.535713,-0.000706268,1313.640015,-0.004433512,,,,,
13/07/2011,51.145714,0.012070691,1317.719971,0.00310584,,,,,
14/07/2011,51.110001,-0.00069826,1308.869995,-0.006716128,,,,,
15/07/2011,52.131428,0.019984875,1316.140015,0.005554425,,,,,
18/07/2011,53.400002,0.02433415,1305.439941,-0.00812989,,,,,
19/07/2011,53.835712,0.008159363,1326.72998,0.016308708,,,,,
20/07/2011,55.271427,0.02666845,1325.839966,-0.000670833,,,,,
21/07/2011,55.327145,0.00100808,1343.800049,0.013546192,,,,,
22/07/2011,56.185715,0.015518061,1345.02002,0.000907852,,,,,
25/07/2011,56.92857,0.013221421,1337.430054,-0.005643013,,,,,
26/07/2011,57.630001,0.012321247,1331.939941,-0.004104972,,,,,
27/07/2011,56.084286,-0.02682136,1304.890015,-0.020308668,,,,,
28/07/2011,55.974285,-0.001961352,1300.670044,-0.003233967,,,,,
29/07/2011,55.782856,-0.003419945,1292.280029,-0.006450533,,,,,
01/08/2011,56.67857,0.016057156,1286.939941,-0.004132299,,,,,
02/08/2011,55.558571,-0.019760537,1254.050049,-0.025556664,,,,,
03/08/2011,56.081429,0.009410933,1260.339966,0.005015683,,,,,
04/08/2011,53.91,-0.038719217,1200.069946,-0.047820447,,,,,
05/08/2011,53.374287,-0.009937173,1199.380005,-0.000574917,,,,,
08/08/2011,50.458572,-0.054627709,1119.459961,-0.066634464,,,,,
09/08/2011,53.43,0.058888468,1172.530029,0.047406848,,,,,
10/08/2011,51.955715,-0.027592832,1120.76001,-0.044152404,,,,,
11/08/2011,53.385715,0.02752344,1172.640015,0.046290022,,,,,
12/08/2011,53.855713,0.008803816,1178.810059,0.005261669,,,,,
15/08/2011,54.772858,0.01702967,1204.48999,0.021784622,,,,,
16/08/2011,54.354286,-0.00764196,1192.76001,-0.009738545,,,,,
17/08/2011,54.348572,-0.000105125,1193.890015,0.000947387,,,,,
